地方债简称,地方债代码,到期日,UK
云南15Z1,109354,2018/7/28,4012558f000001e9
云南15Z2,109355,2020/7/28,401255a7000001ea
云南15Z3,109356,2022/7/28,401255bf000001eb
云南15Z4,109357,2025/7/28,401255e3000001ec
龙江15Z1,109358,2020/7/28,401255a7000001ed
龙江15Z2,109359,2022/7/28,401255bf000001ee
龙江15Z3,109360,2025/7/28,401255e3000001ef
龙江1501,109361,2018/7/28,4012558f000001f0
龙江1502,109362,2020/7/28,401255a7000001f1
龙江1503,109363,2022/7/28,401255bf000001f2
龙江1504,109364,2025/7/28,401255e3000001f3
重庆15Z1,109365,2020/8/5,401255a8000001f4
重庆15Z2,109366,2025/8/5,401255e4000001f5
重庆1505,109367,2018/8/5,40125590000001f6
重庆1506,109368,2020/8/5,401255a8000001f7
重庆1507,109369,2022/8/5,401255c0000001f8
重庆1508,109370,2025/8/5,401255e4000001f9
新疆15Z5,109371,2018/8/7,40125590000001fa
新疆15Z6,109372,2020/8/7,401255a8000001fb
新疆15Z7,109373,2022/8/7,401255c0000001fc
新疆15Z8,109374,2025/8/7,401255e4000001fd
新疆1509,109375,2018/8/7,40125590000001fe
新疆1510,109376,2020/8/7,401255a8000001ff
新疆1511,109377,2022/8/7,401255c000000200
新疆1512,109378,2025/8/7,401255e400000201
上海15Z1,109379,2020/8/7,401255a800000202
上海1503,109380,2022/8/7,401255c000000203
上海1501,109381,2018/8/7,4.01256E+15
上海1502,109382,2020/8/7,401255a800000205
上海1504,109383,2025/8/7,401255e400000206
上海15Z2,109384,2025/8/7,401255e400000207
辽宁15Z1,109385,2020/8/10,401255a800000208
辽宁15Z2,109386,2025/8/10,401255e400000209
辽宁1505,109387,2018/8/10,401255900000020a
辽宁1506,109388,2020/8/10,401255a80000020b
辽宁1507,109389,2022/8/10,401255c00000020c
辽宁1508,109390,2025/8/10,401255e40000020d
青岛1505,109391,2018/8/17,401255900000020e
青岛1506,109392,2020/8/17,401255a80000020f
青岛1507,109393,2022/8/17,401255c000000210
青岛1508,109394,2025/8/17,401255e400000211
青岛15Z1,109395,2020/8/17,401255a800000212
青岛15Z2,109396,2022/8/17,401255c000000213
青岛15Z3,109397,2025/8/17,401255e400000214
天津15Z1,109398,2020/8/19,401255a800000215
天津15Z2,109399,2022/8/19,401255c000000216
天津15Z3,109400,2025/8/19,401255e400000217
天津1505,109401,2018/8/19,4.01256E+15
天津1506,109402,2020/8/19,401255a800000219
天津1507,109403,2022/8/19,401255c00000021a
天津1508,109404,2025/8/19,401255e40000021b
甘肃1505,109405,2018/8/21,401255900000021c
甘肃1506,109406,2020/8/21,401255a80000021d
甘肃1507,109407,2022/8/21,401255c00000021e
甘肃1508,109408,2025/8/21,401255e40000021f
甘肃15Z2,109409,2025/8/21,401255e400000220
甘肃15Z1,109410,2020/8/21,401255a800000221
安徽1505,109411,2016/8/21,4.01256E+15
安徽1506,109412,2018/8/21,4.01256E+15
安徽1507,109413,2020/8/21,401255a800000224
安徽1508,109414,2022/8/21,401255c000000225
安徽1509,109415,2025/8/21,401255e400000226
安徽15Z1,109416,2020/8/21,401255a800000227
安徽15Z2,109417,2022/8/21,401255c000000228
厦门1501,109418,2018/8/22,4.01256E+15
厦门1502,109419,2020/8/22,401255a80000022a
厦门1503,109420,2022/8/22,401255c00000022b
厦门1504,109421,2025/8/22,401255e40000022c
