期货名称,交易代码,合约编码,uk编码
MICEX指数期货,MICEX,MICEX1612,410a157c00000009
S&PBSESENSEX指数期货,S&PBSESENSEX,S&PBSESENSEX1612,410a157c0000000a
FTSE/JSETop40期货,FTSE/JSETop40,FTSE/JSETop401612,410a157c0000000b
中华交易服务博彩业指数期货,GTI,GTI1612,410a157c0000000c
恒生中国内地石油及天然气指数期货,MOI,MOI1612,410a157c0000000d
恒生中国内地银行指数期货,MBI,MBI1612,410a157c0000000e
恒生中国内地医疗保健指数期货,MCI,MCI1612,410a157c0000000f
恒生中国内地地产指数期货,MPI,MPI1612,410a157c00000010
恒生软件服务指数期货,SSI,SSI1612,410a157c00000011
保利置业集团有限公司,POL,POL1612,410a157c00000012
SOHO中国有限公司,SOH,SOH1612,410a157c00000013
国美电器,GOM,GOM1612,410a157c00000014
复星国际有限公司,FOS,FOS1612,410a157c00000015
腾讯控股有限公司,TCH,TCH1612,410a157c00000016
神州数码控股有限公司,DIG,DIG1612,410a157c00000017
中信银行股份有限公司,CTB,CTB1612,410a157c00000018
中国南方航空股份有限公司,SOA,SOA1612,410a157c00000019
阿里巴巴影业集团有限公司,ALI,ALI1612,410a157c0000001a
中国神华能源股份有限公司,CSE,CSE1612,410a157c0000001b
兖州煤业股份有限公司,YZC,YZC1612,410a157c0000001c
中国农业银行股份有限公司,ABC,ABC1612,410a157c0000001d
新华人寿保险股份有限公司,NCL,NCL1612,410a157c0000001e
中国信达资产管理股份有限公司,CDA,CDA1612,410a157c0000001f
中国宏桥集团有限公司,CHQ,CHQ1612,410a157c00000020
华南城控股有限公司,CTY,CTY1612,410a157c00000021
中国中车股份有限公司,CRR,CRR1612,410a157c00000022
中国广核电力股份有限公司,CGN,CGN1612,410a157c00000023
中国中煤能源股份有限公司,CCE,CCE1612,410a157c00000024
融创中国控股有限公司,SUN,SUN1612,410a157c00000025
中国民生银行股份有限公司,MSB,MSB1612,410a157c00000026
广州汽车集团股份有限公司,GAC,GAC1612,410a157c00000027
长城汽车股份有限公司,GWM,GWM1612,410a157c00000028
中国航空科技工业股份有限公司,AVI,AVI1612,410a157c00000029
CSOP富时中国A50 ETF,CSA,CSA1612,410a157c0000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501612,410a157c0000002b
中海油田服务股份有限公司,CHO,CHO1612,410a157c0000002c
紫金矿业集团股份有限公司,ZJM,ZJM1612,410a157c0000002d
华夏沪深300指数ETF,AMC,AMC1612,410a157c0000002e
恒大地产集团有限公司,EVG,EVG1612,410a157c0000002f
金山软件有限公司,KSO,KSO1612,410a157c00000030
中信证券股份有限公司,CTS,CTS1612,410a157c00000031
海通证券股份有限公司,HAI,HAI1612,410a157c00000032
中国辉山乳业控股有限公司,HUD,HUD1612,410a157c00000033
华泰证券股份有限公司,HTS,HTS1612,410a157c00000034
长江和记实业有限公司,CKH,CKH1612,410a157c00000035
中电控股有限公司,CLP,CLP1612,410a157c00000036
香港中华煤气有限公司,HKG,HKG1612,410a157c00000037
九龙仓集团有限公司,WHL,WHL1612,410a157c00000038
汇丰控股有限公司,HKB,HKB1612,410a157c00000039
电能实业有限公司,HEH,HEH1612,410a157c0000003a
恒生银行有限公司,HSB,HSB1612,410a157c0000003b
恒基兆业地产有限公司,HLD,HLD1612,410a157c0000003c
新鸿基地产发展有限公司,SHK,SHK1612,410a157c0000003d
新世界发展有限公司,NWD,NWD1612,410a157c0000003e
太古股份有限公司'A',SWA,SWA1612,410a157c0000003f
东亚银行有限公司,BEA,BEA1612,410a157c00000040
香港铁路有限公司,MTR,MTR1612,410a157c00000041
中国中信股份有限公司,CIT,CIT1612,410a157c00000042
国泰航空有限公司,CPA,CPA1612,410a157c00000043
思捷环球控股有限公司,ESP,ESP1612,410a157c00000044
中国石油化工股份有限公司,CPC,CPC1612,410a157c00000045
